"PIT" "group" "Date.Time" "location" "week" "visit.duration" "leader.follower" "n_visits" "species" "age_in_2020" "season" "degree" "betweenness" "n_species" "flock_size" "species_prop"
"53" "0110175E30" "summer_59" 200721134300 "Mill2" 12 3.38333333333333 "follower" 1 "GRETI" "adult" "summer" 54 17 4 6 0.666666666666667
"54" "0110175E30" "summer_1915" 200805130614 "Mill2" 14 2.56666666666667 "leader" 2 "GRETI" "adult" "summer" 54 17 7 9 0.777777777777778
"55" "0110175E30" "summer_1346" 200730073145 "Mill2" 13 1.78333333333333 "leader" 2 "GRETI" "adult" "summer" 54 17 1 1 1
"56" "0110175E30" "summer_1486" 200804141133 "Mill2" 14 15.9333333333333 "follower" 3 "GRETI" "adult" "summer" 54 17 11 15 0.733333333333333
"57" "0110175E30" "summer_1484" 200804172711 "Mill2" 14 7.26666666666667 "follower" 1 "GRETI" "adult" "summer" 54 17 6 7 0.857142857142857
"58" "0110175E30" "summer_430" 200722182412 "Mill2" 12 3.08333333333333 "leader" 1 "GRETI" "adult" "summer" 54 17 2 2 1
"59" "0110175E30" "summer_1862" 200805064900 "Mill2" 14 3.43333333333333 "follower" 1 "GRETI" "adult" "summer" 54 17 3 3 1
"60" "0110175E30" "summer_2119" 200806085500 "Mill2" 14 4.13333333333333 "leader" 2 "GRETI" "adult" "summer" 54 17 3 3 1
"61" "0110175E30" "summer_2094" 200806085226 "Mill2" 14 1.55 "follower" 1 "GRETI" "adult" "summer" 54 17 2 2 1
"63" "0110176520" "summer_638" 200722165938 "Mill5" 12 32.4666666666667 "follower" 1 "GRETI" "adult" "summer" 9 13 1 2 0.5
"64" "0110176520" "summer_1238" 200729183324 "Mill5" 13 13.3 "leader" 1 "GRETI" "adult" "summer" 9 13 4 5 0.8
"65" "0110176520" "summer_2015" 200805114415 "Mill5" 14 3.63333333333333 "leader" 1 "GRETI" "adult" "summer" 9 13 2 2 1
"67" "0110176520" "summer_1248" 200729065513 "Mill5" 13 5.55 "follower" 2 "GRETI" "adult" "summer" 9 13 2 4 0.5
"68" "0110176520" "summer_1709" 200804123009 "Mill5" 14 3.23333333333333 "follower" 3 "GRETI" "adult" "summer" 9 13 1 3 0.333333333333333
"69" "0110176520" "summer_1254" 200729085314 "Mill5" 13 6.06666666666667 "follower" 1 "GRETI" "adult" "summer" 9 13 2 2 1
"71" "0110176520" "summer_277" 200721170924 "Mill5" 12 6.63333333333333 "follower" 1 "GRETI" "adult" "summer" 9 13 1 2 0.5
"72" "0110176520" "summer_1296" 200729095020 "Mill5" 13 1.9 "follower" 1 "GRETI" "adult" "summer" 9 13 2 2 1
"73" "0110176520" "summer_635" 200722083111 "Mill5" 12 0 "leader" 1 "GRETI" "adult" "summer" 9 13 1 1 1
"74" "0110176520" "summer_2006" 200805135839 "Mill5" 14 4.95 "follower" 1 "GRETI" "adult" "summer" 9 13 2 2 1
"75" "0110176520" "summer_2008" 200805091254 "Mill5" 14 8.06666666666667 "leader" 2 "GRETI" "adult" "summer" 9 13 1 2 0.5
"76" "0110176520" "summer_1680" 200804161804 "Mill5" 14 1.61666666666667 "leader" 1 "GRETI" "adult" "summer" 9 13 1 2 0.5
"77" "0110176520" "summer_2029" 200805120416 "Mill5" 14 0.133333333333333 "leader" 1 "GRETI" "adult" "summer" 9 13 1 1 1
"78" "0110176520" "summer_275" 200721182126 "Mill5" 12 3.3 "follower" 1 "GRETI" "adult" "summer" 9 13 2 3 0.666666666666667
"80" "0110176520" "summer_1660" 200804141040 "Mill5" 14 9.26666666666667 "follower" 1 "GRETI" "adult" "summer" 9 13 2 4 0.5
"81" "0110176520" "summer_302" 200721175014 "Mill5" 12 0.1 "leader" 1 "GRETI" "adult" "summer" 9 13 1 1 1
"82" "0110176520" "summer_974" 200728102653 "Mill5" 13 2.68333333333333 "follower" 1 "GRETI" "adult" "summer" 9 13 2 2 1
"83" "0110176520" "summer_2004" 200805183256 "Mill5" 14 3.05 "follower" 1 "GRETI" "adult" "summer" 9 13 3 3 1
"85" "0110176520" "summer_1253" 200729061055 "Mill5" 13 4.61666666666667 "leader" 1 "GRETI" "adult" "summer" 9 13 2 2 1
"86" "0110176520" "summer_1301" 200729104638 "Mill5" 13 2.08333333333333 "leader" 3 "GRETI" "adult" "summer" 9 13 1 1 1
"87" "0110176520" "summer_637" 200722154832 "Mill5" 12 0.0166666666666667 "leader" 1 "GRETI" "adult" "summer" 9 13 1 1 1
"88" "0110176520" "summer_1720" 200804155633 "Mill5" 14 4.3 "follower" 1 "GRETI" "adult" "summer" 9 13 1 3 0.333333333333333
"90" "0110176520" "summer_290" 200721164747 "Mill5" 12 3.1 "follower" 1 "GRETI" "adult" "summer" 9 13 2 2 1
"91" "0110176520" "summer_1711" 200804122753 "Mill5" 14 4.71666666666667 "follower" 1 "GRETI" "adult" "summer" 9 13 1 3 0.333333333333333
"92" "0110176520" "summer_949" 200728103125 "Mill5" 13 2.66666666666667 "follower" 1 "GRETI" "adult" "summer" 9 13 2 2 1
"93" "0110176520" "summer_1692" 200804194305 "Mill5" 14 22.9166666666667 "follower" 1 "GRETI" "adult" "summer" 9 13 4 5 0.8
"94" "0110176520" "summer_2019" 200805102253 "Mill5" 14 10.0833333333333 "follower" 2 "GRETI" "adult" "summer" 9 13 1 5 0.2
"95" "0110176520" "summer_984" 200728175054 "Mill5" 13 7.3 "follower" 1 "GRETI" "adult" "summer" 9 13 1 2 0.5
"97" "0110176520" "summer_985" 200728144901 "Mill5" 13 4.8 "leader" 6 "GRETI" "adult" "summer" 9 13 1 3 0.333333333333333
"98" "0110176520" "summer_938" 200728194130 "Mill5" 13 3.25 "leader" 3 "GRETI" "adult" "summer" 9 13 1 1 1
"99" "0110176520" "summer_1293" 200729121952 "Mill5" 13 8.05 "follower" 1 "GRETI" "adult" "summer" 9 13 1 2 0.5
"100" "0110176520" "summer_301" 200721140519 "Mill5" 12 48.2166666666667 "leader" 3 "GRETI" "adult" "summer" 9 13 1 3 0.333333333333333
"101" "0110176520" "summer_619" 200722094100 "Mill5" 12 7.41666666666667 "follower" 1 "GRETI" "adult" "summer" 9 13 3 5 0.6
"103" "01101775E5" "summer_1088" 200729150158 "Mill2" 13 0 "leader" 1 "GRETI" "adult" "summer" 37 28 1 1 1
"104" "01101775E5" "summer_1473" 200804142442 "Mill2" 14 7.83333333333333 "follower" 1 "GRETI" "adult" "summer" 37 28 7 8 0.875
"105" "01101775E5" "summer_1812" 200805125221 "Mill2" 14 9.8 "follower" 1 "GRETI" "adult" "summer" 37 28 8 9 0.888888888888889
"106" "01101775E5" "summer_1469" 200804151834 "Mill2" 14 9.8 "follower" 1 "GRETI" "adult" "summer" 37 28 9 11 0.818181818181818
"107" "01101775E5" "summer_1491" 200804132455 "Mill2" 14 9.76666666666667 "follower" 1 "GRETI" "adult" "summer" 37 28 7 8 0.875
"109" "01101775E5" "summer_1358" 200730061323 "Mill2" 13 1.48333333333333 "follower" 1 "GRETI" "adult" "summer" 37 28 4 4 1
"110" "01101775E5" "summer_1830" 200805164942 "Mill2" 14 9.95 "leader" 3 "GRETI" "adult" "summer" 37 28 10 10 1
"111" "01101775E5" "summer_1374" 200730075349 "Mill2" 13 7.56666666666667 "follower" 3 "GRETI" "adult" "summer" 37 28 4 4 1
"112" "01101775E5" "summer_1359" 200730063114 "Mill2" 13 2.86666666666667 "follower" 1 "GRETI" "adult" "summer" 37 28 6 6 1
"114" "01101775E5" "summer_1490" 200804153930 "Mill2" 14 5.71666666666667 "follower" 3 "GRETI" "adult" "summer" 37 28 4 5 0.8
