"","PIT","degree","Date.Time","Antenna","location","week","group","visit.duration","leader.follower","species","age_in_2020","season","betweenness","group.size","n_species","flock_size","species_prop"
"266","01101785BD",7,200721102834,"M","Mill4",12,209,2.95,"leader","GRETI","adult","summer",0,2,4,8,0.5
"267","01101785BD",7,200721115832,"M","Mill4",12,187,1.31666666666667,"leader","GRETI","adult","summer",0,2,3,5,0.6
"268","01101785BD",7,200722074310,"M","Mill4",12,569,2.46666666666667,"follower","GRETI","adult","summer",0,2,5,7,0.714285714285714
"269","01101785BD",7,200805091927,"M","Mill4",14,1953,2.08333333333333,"leader","GRETI","adult","summer",0,3,3,13,0.230769230769231
"270","01101785BD",7,200722113156,"M","Mill4",12,586,4.68333333333333,"follower","GRETI","adult","summer",0,5,4,10,0.4
"271","01101785BD",7,200729170457,"M","Mill4",13,1202,1.08333333333333,"leader","GRETI","adult","summer",0,1,2,4,0.5
"272","01101785BD",7,200722085931,"M","Mill4",12,545,6.53333333333333,"follower","GRETI","adult","summer",0,4,7,14,0.5
"273","01101785BD",7,200728132549,"M","Mill4",13,880,0.233333333333333,"follower","GRETI","adult","summer",0,3,4,6,0.666666666666667
"274","01101785BD",7,200721132209,"M","Mill4",12,193,2.76666666666667,"follower","GRETI","adult","summer",0,3,3,7,0.428571428571429
"275","01101785BD",7,200728121827,"M","Mill4",13,859,5.98333333333333,"follower","GRETI","adult","summer",0,3,3,10,0.3
"276","01101785BD",7,200805144842,"M","Mill4",14,1978,5.55,"follower","GRETI","adult","summer",0,2,4,6,0.666666666666667
"277","01101785BD",7,200721154458,"M","Mill4",12,202,4.61666666666667,"follower","GRETI","adult","summer",0,3,5,11,0.454545454545455
"278","01101785BD",7,200721161438,"M","Mill4",12,257,3.75,"leader","GRETI","adult","summer",0,3,1,7,0.142857142857143
"279","01101785BD",7,200730062639,"M","Mill4",13,1399,0.0166666666666667,"leader","GRETI","adult","summer",0,1,8,11,0.727272727272727
"280","01101785BD",7,200721090145,"M","Mill4",12,204,2.46666666666667,"follower","GRETI","adult","summer",0,3,3,9,0.333333333333333
"281","01101785BD",7,200806091128,"M","Mill4",14,2157,3.78333333333333,"leader","GRETI","adult","summer",0,1,4,6,0.666666666666667
"282","01101785BD",7,200722092029,"M","Mill4",12,616,3.98333333333333,"follower","GRETI","adult","summer",0,2,4,8,0.5
"283","01101785BD",7,200805111759,"M","Mill4",14,1971,7.46666666666667,"leader","GRETI","adult","summer",0,4,9,19,0.473684210526316
"284","01101785BD",7,200722081140,"M","Mill4",12,556,2.96666666666667,"follower","GRETI","adult","summer",0,4,4,13,0.307692307692308
"285","01101785BD",7,200728153441,"M","Mill4",13,921,2.8,"follower","GRETI","adult","summer",0,4,5,13,0.384615384615385
"286","01101785BD",7,200806080705,"M","Mill4",14,2150,1.78333333333333,"leader","GRETI","adult","summer",0,2,2,4,0.5
"287","01101785BD",7,200728142737,"M","Mill4",13,915,3.13333333333333,"follower","GRETI","adult","summer",0,4,5,10,0.5
"288","01101785BD",7,200728142459,"M","Mill4",13,878,4.86666666666667,"follower","GRETI","adult","summer",0,3,2,7,0.285714285714286
"289","01101785BD",7,200806080324,"M","Mill4",14,2146,0.916666666666667,"leader","GRETI","adult","summer",0,1,2,4,0.5
"290","01101785BD",7,200728132659,"M","Mill4",13,909,4.73333333333333,"follower","GRETI","adult","summer",0,5,2,11,0.181818181818182
"291","01101785BD",7,200728112356,"M","Mill4",13,857,3.23333333333333,"follower","GRETI","adult","summer",0,3,7,13,0.538461538461538
"292","01101785BD",7,200730075023,"M","Mill4",13,1407,0.0166666666666667,"leader","GRETI","adult","summer",0,1,15,23,0.652173913043478
"293","01101785BD",7,200721163919,"M","Mill4",12,213,3.16666666666667,"follower","GRETI","adult","summer",0,2,4,6,0.666666666666667
"294","01101785BD",7,200805152801,"M","Mill4",14,1950,8.26666666666667,"follower","GRETI","adult","summer",0,2,13,22,0.590909090909091
"295","01101785BD",7,200722081934,"M","Mill4",12,585,3.31666666666667,"follower","GRETI","adult","summer",0,4,3,12,0.25
"296","01101785BD",7,200805103647,"M","Mill4",14,1984,2.76666666666667,"leader","GRETI","adult","summer",0,2,8,11,0.727272727272727
"297","01101785BD",7,200722074757,"M","Mill4",12,542,2.95,"leader","GRETI","adult","summer",0,2,4,14,0.285714285714286
"298","01101785BD",7,200728152356,"M","Mill4",13,935,3.1,"follower","GRETI","adult","summer",0,2,13,22,0.590909090909091
"299","01101785BD",7,200722093712,"M","Mill4",12,615,0.816666666666667,"leader","GRETI","adult","summer",0,1,3,5,0.6
"300","01101785BD",7,200721170300,"M","Mill4",12,260,2.73333333333333,"leader","GRETI","adult","summer",0,3,9,16,0.5625
"301","01101785BD",7,200805091106,"M","Mill4",14,1956,0.116666666666667,"follower","GRETI","adult","summer",0,2,9,16,0.5625
"302","01101785BD",7,200729090756,"M","Mill4",13,1190,1.9,"leader","GRETI","adult","summer",0,2,3,5,0.6
"303","01101785BD",7,200728110303,"M","Mill4",13,889,3.78333333333333,"follower","GRETI","adult","summer",0,4,3,8,0.375
"304","01101785BD",7,200806070934,"M","Mill4",14,2155,2.48333333333333,"leader","GRETI","adult","summer",0,1,4,6,0.666666666666667
"305","01101785BD",7,200805185338,"M","Mill4",14,1961,8.3,"leader","GRETI","adult","summer",0,2,4,4,1
"306","01101785BD",7,200728112657,"M","Mill4",13,866,1.56666666666667,"follower","GRETI","adult","summer",0,2,2,7,0.285714285714286
"307","01101785BD",7,200806064132,"M","Mill4",14,2151,2.63333333333333,"follower","GRETI","adult","summer",0,2,4,5,0.8
"308","01101785BD",7,200728105645,"M","Mill4",13,901,4.1,"follower","GRETI","adult","summer",0,3,1,6,0.166666666666667
"309","01101785BD",7,200728130914,"M","Mill4",13,881,5.73333333333333,"follower","GRETI","adult","summer",0,4,5,10,0.5
"310","01101785BD",7,200729151620,"M","Mill4",13,1185,0.466666666666667,"follower","GRETI","adult","summer",0,2,6,11,0.545454545454545
"311","01101785BD",7,200728171549,"M","Mill4",13,910,8.05,"follower","GRETI","adult","summer",0,2,2,6,0.333333333333333
"312","01101785BD",7,200721170923,"M","Mill4",12,183,6.18333333333333,"follower","GRETI","adult","summer",0,4,5,12,0.416666666666667
"313","01101785BD",7,200806080957,"M","Mill4",14,2158,1.75,"leader","GRETI","adult","summer",0,1,7,11,0.636363636363636
"314","01101785BD",7,200721182628,"M","Mill4",12,246,0,"leader","GRETI","adult","summer",0,1,6,10,0.6
"315","01101785BD",7,200721174217,"M","Mill4",12,211,5.2,"follower","GRETI","adult","summer",0,3,4,8,0.5
"316","01101786C5",62,200722125038,"M","Mill2",12,492,8.81666666666667,"follower","GRETI","adult","summer",71,7,10,15,0.666666666666667
"317","01101786C5",62,200721093847,"M","Mill2",12,41,7.41666666666667,"follower","GRETI","adult","summer",71,7,9,12,0.75
"318","01101786C5",62,200722183530,"M","Mill2",12,480,2.58333333333333,"leader","GRETI","adult","summer",71,2,6,11,0.545454545454545
"319","01101786C5",62,200729105331,"M","Mill2",13,1120,5.08333333333333,"follower","GRETI","adult","summer",71,6,8,16,0.5
"320","01101786C5",62,200722183525,"M","Mill2",12,449,4.75,"follower","GRETI","adult","summer",71,4,6,11,0.545454545454545
"321","01101786C5",62,200721090059,"M","Mill2",12,43,3.51666666666667,"follower","GRETI","adult","summer",71,4,5,9,0.555555555555556
"322","01101786C5",62,200728123546,"M","Mill2",13,799,1.6,"follower","GRETI","adult","summer",71,2,4,9,0.444444444444444
"323","01101786C5",62,200805092538,"M","Mill2",14,1861,1.16666666666667,"follower","GRETI","adult","summer",71,5,7,11,0.636363636363636
"324","01101786C5",62,200729114112,"M","Mill2",13,1082,5.83333333333333,"follower","GRETI","adult","summer",71,7,10,17,0.588235294117647
"325","01101786C5",62,200805163026,"M","Mill2",14,1804,8.26666666666667,"follower","GRETI","adult","summer",71,15,16,25,0.64
"326","01101786C5",62,200721090354,"M","Mill2",12,158,0.35,"leader","GRETI","adult","summer",71,2,4,5,0.8
"327","01101786C5",62,200729143316,"M","Mill2",13,1123,3.6,"follower","GRETI","adult","summer",71,2,3,6,0.5
"328","01101786C5",62,200804111132,"M","Mill2",14,1499,4.33333333333333,"leader","GRETI","adult","summer",71,8,14,16,0.875
"329","01101786C5",62,200804162052,"M","Mill2",14,1506,3.46666666666667,"leader","GRETI","adult","summer",71,7,15,19,0.789473684210526
"330","01101786C5",62,200728100051,"M","Mill2",13,778,6.51666666666667,"leader","GRETI","adult","summer",71,4,6,12,0.5
"331","01101786C5",62,200729091952,"M","Mill2",13,1069,10.55,"follower","GRETI","adult","summer",71,8,8,14,0.571428571428571
"332","01101786C5",62,200728110359,"M","Mill2",13,770,3.73333333333333,"follower","GRETI","adult","summer",71,4,7,14,0.5
"333","01101786C5",62,200805085417,"M","Mill2",14,1801,8.48333333333333,"follower","GRETI","adult","summer",71,6,14,23,0.608695652173913
"334","01101786C5",62,200804151237,"M","Mill2",14,1477,4.31666666666667,"follower","GRETI","adult","summer",71,5,15,23,0.652173913043478
"335","01101786C5",62,200728183814,"M","Mill2",13,805,0.966666666666667,"leader","GRETI","adult","summer",71,1,2,6,0.333333333333333
"336","01101786C5",62,200805065159,"M","Mill2",14,1821,0.883333333333333,"follower","GRETI","adult","summer",71,3,5,11,0.454545454545455
"337","01101786C5",62,200806083201,"M","Mill2",14,2140,2.28333333333333,"follower","GRETI","adult","summer",71,2,2,5,0.4
"338","01101786C5",62,200730055725,"M","Mill2",13,1363,2.31666666666667,"leader","GRETI","adult","summer",71,1,6,9,0.666666666666667
"339","01101786C5",62,200804192247,"M","Mill2",14,1480,1.55,"follower","GRETI","adult","summer",71,2,9,11,0.818181818181818
"340","01101786C5",62,200806073719,"M","Mill2",14,2110,2.38333333333333,"follower","GRETI","adult","summer",71,3,4,7,0.571428571428571
"341","01101786C5",62,200805082417,"M","Mill2",14,1820,0.383333333333333,"leader","GRETI","adult","summer",71,1,3,7,0.428571428571429
"342","01101786C5",62,200805104948,"M","Mill2",14,1891,3.96666666666667,"follower","GRETI","adult","summer",71,4,4,7,0.571428571428571
"343","01101786C5",62,200805130512,"M","Mill2",14,1815,1.71666666666667,"follower","GRETI","adult","summer",71,6,11,20,0.55
"344","01101786C5",62,200729122035,"M","Mill2",13,1104,8.81666666666667,"follower","GRETI","adult","summer",71,11,24,36,0.666666666666667
"345","01101786C5",62,200730063453,"M","Mill2",13,1341,3.03333333333333,"follower","GRETI","adult","summer",71,6,9,12,0.75
"346","01101786C5",62,200806065657,"M","Mill2",14,2107,3.6,"follower","GRETI","adult","summer",71,5,4,6,0.666666666666667
"347","01101786C5",62,200721132248,"M","Mill2",12,147,9.06666666666667,"follower","GRETI","adult","summer",71,8,8,13,0.615384615384615
"348","01101786C5",62,200728160220,"M","Mill2",13,782,0.0166666666666667,"leader","GRETI","adult","summer",71,1,2,6,0.333333333333333
"349","01101786C5",62,200804102032,"M","Mill2",14,1503,29.8333333333333,"leader","GRETI","adult","summer",71,4,9,14,0.642857142857143
"350","01101786C5",62,200805141818,"M","Mill2",14,1840,3.68333333333333,"leader","GRETI","adult","summer",71,5,8,13,0.615384615384615
"351","01101786C5",62,200805163328,"M","Mill2",14,1878,3.58333333333333,"follower","GRETI","adult","summer",71,11,12,15,0.8
"352","01101786C5",62,200804121551,"M","Mill2",14,1487,19.8333333333333,"leader","GRETI","adult","summer",71,2,23,39,0.58974358974359
"353","01101786C5",62,200804093302,"M","Mill2",14,1458,18.7333333333333,"leader","GRETI","adult","summer",71,6,8,15,0.533333333333333
"354","01101786C5",62,200729141450,"M","Mill2",13,1079,0.7,"follower","GRETI","adult","summer",71,4,11,17,0.647058823529412
"355","01101786C5",62,200721151556,"M","Mill2",12,45,4.9,"leader","GRETI","adult","summer",71,5,6,11,0.545454545454545
"356","01101786C5",62,200729125548,"M","Mill2",13,1132,1.91666666666667,"leader","GRETI","adult","summer",71,4,7,17,0.411764705882353
"357","01101786C5",62,200805144626,"M","Mill2",14,1879,4.11666666666667,"leader","GRETI","adult","summer",71,8,11,17,0.647058823529412
"358","01101786C5",62,200730082412,"M","Mill2",13,1373,2.28333333333333,"leader","GRETI","adult","summer",71,2,10,15,0.666666666666667
"359","01101786C5",62,200729081635,"M","Mill2",13,1097,4.23333333333333,"leader","GRETI","adult","summer",71,4,13,28,0.464285714285714
